BloodBankId,Name,Phone,Address,BloodCode,PatientId
1,Carolinska,742378978,Livetsgatan 23,3,3
2,Pantbanken SB,8972937897,Univershitetsgatan 43,4,8
3,Society AB,5237875423,Kungsgatan 53,5,4
4,Blodcentralen ,234-423-423,Stockholmsvägen 67,6,6
5,LundCenter,087-232-4244,Umeogatan 87,7,11
6,Beckman Coulter,092-4232-522,Vällingbygatan 32,8,8
7,Blood Center SBA,94212187,Karolinska vägen,9,9
8,Parkeringsplats,42389978,Bättringsgatan 454,10,10
9,Live Saving,4237687887,Skanstul 438,11,18
10,Hälsan,4237887789,Gullmarsplan,12,10
11,Boule,744899788,Skärholmen 342,13,10
12,Luleo Blodcentrale,080-484-42389,Södragatan,14,16
13,Astrazeneca,23879879890,Drottningsgatan,15,13
14,Södra sjukhuset,2378900987,Bollegatan 34,16,14
15,Intro AB,42378797947,Lundsgatan 43,17,15
16,Sweden AB,43978998423,Allmän vägen,18,16
17,Donor AB,3.45E+12,Gamlastan 424,19,16
18,General SAB,2354215235,Travel vägen 21,20,21
19,Apollo,7.89E+11,Norwey 67,21,18
20,Mars gh,6546546744,Canada vaäen,22,8
21,Sputnik ,65636346,Rausanevägen 53,23,4
